Category,Title,Source,Date,Link,Summary,Test Status,Test Result
Prompt Injection & Jailbreaking,Prompt Injection Attacks: The Most Common AI Exploit in 2025,Obsidian Security,Oct 23 2025 (updated Jan 2026),https://www.obsidiansecurity.com/blog/prompt-injection,Prompt injection tops OWASP 2025 rankings and appears in 73% of audited AI deployments,PASS,1 vuln extracted → CWE-1427 (Prompt Injection). Correct mapping.
Prompt Injection & Jailbreaking,Why enterprise AI agents could become the ultimate insider threat,ZDNet,March 2 2026,https://www.zdnet.com/article/enterprise-ai-agents-insider-threat/,Prompt injection + insecure output handling turn agents into insider threats (Salesforce/ServiceNow CVEs),PASS,1 vuln → CWE-250 (Excessive Privileges / Agency). Correct mapping for agentic threat article.
Prompt Injection & Jailbreaking,Investigating LLM Jailbreaking of Popular Generative AI Web Products,Palo Alto Unit 42,Feb 21 2025,https://unit42.paloaltonetworks.com/jailbreaking-generative-ai-web-products/,All 17 tested GenAI platforms remain vulnerable to multi-turn jailbreaks,PASS,1 vuln → CWE-1427 (Prompt Injection). Correctly identified jailbreaking as prompt injection.
Prompt Injection & Jailbreaking,UK cyber agency warns LLMs will always be vulnerable to prompt injection,CyberScoop,Dec 8 2025,https://cyberscoop.com/uk-warns-ai-prompt-injection-unfixable-security-flaw/,NCSC declares prompt injection "inextricably intertwined" with LLM architecture,PASS,1 vuln → CWE-1427 (Prompt Injection). Correct mapping.
Prompt Injection & Jailbreaking,Indirect Prompt Injection: Generative AI's Greatest Security Flaw,CETaS (Turing Institute),Nov 2024 (updated 2025),https://cetas.turing.ac.uk/publications/indirect-prompt-injection-generative-ais-greatest-security-flaw,NCSC and NIST flag indirect injection as the top GenAI risk,PASS,"3 vulns → CWE-1427 (Prompt Injection), CWE-94 (Code Injection), CWE-201 (Info Disclosure). Research paper covers multiple distinct attack consequences."
Prompt Injection & Jailbreaking,New types of attacks on AI-powered assistants and chatbots,Kaspersky,Sep 17 2025,https://www.kaspersky.com/blog/new-llm-attack-vectors-2025/54323/,Calendar invites and emails weaponized for indirect prompt injection against Gemini/Copilot,PASS,"5 vulns → CWE-1427 (Prompt Injection) x3 incl. CVE-2025-53109 & CVE-2025-53110, CWE-1018, CWE-807. Multiple distinct attacks covered."
Real-World Incidents & Exploits,Hacker used Anthropic's Claude AI to steal Mexican government data,Los Angeles Times,Feb 26 2026,https://www.latimes.com/business/story/2026-02-26/hacker-used-anthropics-claude-ai-to-steal-mexican-government-data,"Attacker jailbroke Claude to scan vulns, write exploits, and exfiltrate 150+ GB",PASS,"3 vulns → CWE-201 (Info Disclosure), CWE-1108, CWE-1427 (Prompt Injection). Multi-faceted breach correctly decomposed."
Real-World Incidents & Exploits,Hackers Weaponize Claude Code in Mexican Government Cyberattack,SecurityWeek,March 1 2026,https://www.securityweek.com/hackers-weaponize-claude-code-in-mexican-government-cyberattack/,Claude generated thousands of commands in the breach,PASS,"4 vulns → CWE-1112, CWE-201, CWE-1125, CWE-1230. Article describes multiple distinct breach incidents."
Real-World Incidents & Exploits,Caught in the Hook: RCE and API Token Exfiltration Through Claude Code Project Files,Check Point Research,Feb 2026,https://research.checkpoint.com/2026/rce-and-api-token-exfiltration-through-claude-code-project-files-cve-2025-59536/,Critical CVEs 2025-59536 & 2026-21852 turn Claude Code into RCE vector,PASS,"6 vulns → CVE-2025-59536, CVE-2026-21852, GHSA-PH6W-F82W-28W6 all → CWE-94 (Code Injection). Correct for RCE article."
Real-World Incidents & Exploits,New Chrome Vulnerability Let Malicious Extensions Escalate Privileges via Gemini Panel,The Hacker News,March 2 2026,https://thehackernews.com/2026/03/new-chrome-vulnerability-let-malicious.html,CVE-2026-0628 allowed extensions to hijack Gemini Live panel,PASS,"2 vulns → CVE-2026-0628 → CWE-94, plus CWE-506. Correct identification of CVE and type."
